,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
73,City Land Travels,1438,3.6,47 Seats available,Volvo A/C Seater (2+2),22:15,08h 45m,07:00,SUHANA SAHAB GURUDWARA
74,City Land Travels,1238,3.5,41 Seats available,Volvo A/C Semi Sleeper (2+2),22:45,08h 15m,07:00,Chandigarh Zirakhpur
75,HIMALAYAN HOLIDAYS,INR 1399,3.3,40 Seats available,Volvo A/C Semi Sleeper (2+2 ),23:50,06h 50m,06:45,Chandni Chowk
76,Subh Yatri Holidays,749,3.2,8 Seats available,Volvo A/C Semi Sleeper (2+2),23:45,08h 15m,08:00,Chandni Chowk
77,Travel Zap India Pvt LTD.,INR 1599,3.2,49 Seats available,Mercedes benz a/c Seater (2+2),23:59,07h 06m,07:05,
78,Travel Zap India Pvt LTD.,INR 1099,3.2,26 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:14,07h 36m,06:50,
79,Travel Zap India Pvt LTD.,INR 1099,2.9,,Volvo Multi-Axle A/C (2+2),23:24,07h 06m,06:30,
80,PAL Travel Lines,799,2.5,,Volvo A/C Semi Sleeper (2+2),23:45,08h 40m,08:25,
81,Yatrabybus.com,INR 2199,2.3,,Bharat Benz A/C Semi Sleeper (2+2),22:20,06h 40m,05:00,
82,Himachal Travels Height,INR 1349,1.2,,Volvo A/C Semi Sleeper (2+2),23:45,09h 05m,08:50,
83,Vee Kay Travels,INR 899,,,Volvo A/C Semi Sleeper (2+2),23:05,0-17h 00m,06:05,
84,Ram Dalal Holidays,925,4.8,45 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:38,09h 52m,06:30,Dharamsala
85,Laxmi holidays,1044,4.8,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:50,10h 40m,08:30,Bharat Petrol Pump
86,Zingbus Plus,819,4.7,29 Seats available,Volvo A/C Semi Sleeper (2+2),19:35,09h 30m,05:05,Bharat Petrol Pump
87,AdA N Holidays,999,4.8,26 Seats available,Volvo A/C Semi Sleeper (2+2),20:35,09h 40m,06:15,Dharamshala
88,Laxmi holidays,949,4.7,23 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:00,09h 30m,06:30,Bharat Petrol Pump
89,Laxmi holidays,1044,4.7,27 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),20:00,10h 20m,06:20,Bharat Petrol Pump
90,Laxmi holidays,1044,4.8,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:45,10h 45m,08:30,Dharamshala Bharat Petrol Pump
91,AdRaghukul Holidays,764,4.5,24 Seats available,Volvo A/C Semi Sleeper (2+2),19:00,10h 00m,05:00,Dharamshala
92,Bedi Travels,765,4.7,19 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:00,10h 30m,05:30,Bharat Petrol Pump (Mann Fill...
93,Ram Dalal Holidays,768,4.7,15 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),19:30,10h 15m,05:45,dharamshala
94,Laxmi holidays,1044,4.7,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),18:25,11h 05m,05:30,Dharamshala Bharat Petrol Pump
95,FlixBus,INR 1246,4.8,15 Seats available,A/C Seater (2+2),18:00,11h 20m,05:20,Dharamshala (Maximus Mall)
96,Zingbus Plus,828,4.7,29 Seats available,Volvo A/C Semi Sleeper (2+2),19:30,09h 35m,05:05,McLeod Ganj
97,Ram Dalal Holidays,925,4.6,45 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:30,10h 00m,06:30,dharamshala
98,Ram Dalal Holidays,768,4.6,15 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),19:48,09h 57m,05:45,Dharamsala
99,Laxmi holidays,1044,4.6,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),18:30,11h 00m,05:30,Bharat Petrol Pump
100,Bedi Travels,738,4.7,22 Seats available,Volvo A/C Semi Sleeper (2+2 ),21:15,10h 15m,07:30,Bharat Petrol Pump (Mann Fill...
101,Laxmi holidays,1044,4.7,27 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),19:55,10h 25m,06:20,Dharamshala Bharat Petrol Pump
102,Laxmi holidays,949,4.6,23 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),20:55,09h 35m,06:30,Dharamshala Bharat Petrol Pump
103,Bedi Travels,738,4.4,22 Seats available,Volvo A/C Semi Sleeper (2+2 ),21:00,10h 30m,07:30,McleodGanj (Pick/Drop - Dhara...
104,Zingbus Plus,730,4.4,32 Seats available,Volvo Multi-Axle A/C Semisleeper (2+2),21:35,09h 20m,06:55,Bharat Petrol Pump
105,Bedi Travels,765,4.6,21 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),18:45,10h 45m,05:30,McleodGanj (Pick/Drop - Dhara...
106,New Himalaya Travels,INR 700,4.4,24 Seats available,Volvo A/C Semi Sleeper (2+2),19:30,10h 50m,06:20,MANN FILLING STATION DHARAMSHALA
107,Zingbus Plus,738,3.9,32 Seats available,Volvo Multi-Axle A/C Semisleeper (2+2),21:30,09h 25m,06:55,McLeod Ganj
108,City Land Travels,669,4.3,22 Seats available,Volvo A/C Semi Sleeper (2+2),20:40,10h 10m,06:50,Bharat Petrol Pump
109,New Himalaya Travels,INR 700,3.7,24 Seats available,Volvo A/C Semi Sleeper (2+2),19:35,10h 45m,06:20,Maan Filling Station Dharamshala
110,City Land Travels,699,3.6,22 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,10h 20m,06:50,HRTC Workshop Dharamshala Byp...
