,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
470,Anand Travels,639,2.8,,NON A/C Sleeper (2+1),18:00,08h 00m,02:00,
471,Atmaram Travels ( Dolphin ),INR 700,2.8,,AC Sleeper (2+1),18:30,06h 15m,00:45,
472,Laxmi-Princess Nova,INR 399,2.5,,Non A/C Seater / Sleeper (2+1),19:00,06h 30m,01:30,
473,Manish Roshan Travels,INR 850,2.7,,A/C Sleeper (2+1),19:00,08h 30m,03:30,
474,Om Sri Tours and Travels,1849,2.4,,Volvo Multi-Axle A/C Sleeper (2+1),20:00,03h 55m,23:55,
475,VRL Travels,INR 1100,3.4,,A/C Sleeper (2+1),17:00,06h 45m,23:45,
476,VRL Travels,INR 900,3.4,,A/C Sleeper (2+1),19:30,06h 30m,02:00,
477,Kadamba Transport Corporation Limited (KTCL) - 60996,INR 490,3.9,28 Seats available,Non AC Seater 2+2,19:00,09h 00m,04:00,Vasco
478,Vaibhav Travels,INR 600,3.3,14 Seats available,A/C Sleeper (2+1),20:00,09h 40m,05:40,Verna
479,Neeta tours and travels,INR 499,1.0,32 Seats available,AC Sleeper (2+1),10:30,07h 50m,18:20,Panjim
480,Konkan Tours & Travels,INR 3000,3.5,23 Seats available,NON A/C Sleeper (2+1),17:00,08h 25m,01:25,Mapusa
481,Humsafar Travels,INR 1350,4.0,24 Seats available,A/C Sleeper (2+1),19:00,06h 30m,01:30,Mapusa
482,Om Sri Tours and Travels,1849,1.6,,Volvo Multi-Axle A/C Sleeper (2+1),20:00,07h 40m,03:40,
483,Atmaram Gobus,INR 750,4.7,27 Seats available,VE A/C Sleeper (2+1),22:30,07h 40m,06:10,Mapusa
484,Ashray Travels,INR 790,4.8,27 Seats available,Volvo Multi-Axle A/C Sleeper (2+1),21:00,09h 30m,06:30,Mapusa
485,IntrCity SmartBus,INR 700,4.5,27 Seats available,AC Sleeper (2+1),21:30,07h 55m,05:25,Mapusa
486,Ashray Grand,INR 1000,4.5,29 Seats available,Volvo Multi-Axle A/C Sleeper (2+1),22:00,09h 30m,07:30,Mapusa
487,Atmaram Travels ( Gogte ),INR 600,4.1,20 Seats available,NON A/C Sleeper (2+1),21:15,08h 30m,05:45,Mapusa
488,Ashray Travels,INR 749,4.7,20 Seats available,Bharat Benz A/C Sleeper (2+1),22:30,09h 30m,08:00,Mapusa
489,Atmaram Travels(M.Dev),INR 808,5.0,26 Seats available,A/C Sleeper (2+1),22:00,08h 50m,06:50,Mapusa
490,Anand Travels,639,4.1,19 Seats available,NON A/C Sleeper (2+1),18:00,09h 30m,03:30,Madgaon
491,Atmaram Gobus,INR 599,4.4,20 Seats available,NON A/C Sleeper (2+1),19:45,09h 40m,05:25,Mapusa
492,Indumati Travels,INR 600,4.2,15 Seats available,A/C Sleeper (2+1),20:15,08h 15m,04:30,Panjim
493,Laxmi Queen Prime,INR 699,4.7,30 Seats available,A/C Sleeper (2+1),19:30,09h 30m,05:00,Mapusa
